All event log messages.
Date:	2011-02-18 21:28:31
System Name:	Sys510FC_CMU
Controller Name:	192.168.1.99
Controller Id	14M-51726

RobotWare:	5.10.0146
Key:	uCnQJIon7ssNpppwnCp1ooodoolpC
Options:	
	RW Control module key
	RobotWare OS and English
	709-x DeviceNet
		709-1 Master/Slave Single
		608-1 World Zones
		609-1 Fixed Position Events
		613-1 Collision Detection
		616-1 PC Interface
		617-1 FlexPendant Interface
		620-1 File and Serial Channel Handling
		672-1 Socket Messaging
		621-1 Logical Cross Connections
		622-1 Analog Signal Interrupt
		623-1 Multitasking
		626-1 Advanced RAPID
		661-2 Assembly FC
		Robot Reference Inteface

DriveModule1
Key:	Fy6929qjV5M
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 140 Type C
			140 Type C
			Add axes IRB/drive module 140/1400
				R2C4 Add drive 3 x U or prepared
					No drive in pos Z4



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
60098     	I   	Operational         	10052   	Regain start                            	2011-02-18 20:42:38 	A regain movement has started.	{args: "0"}
60099     	I   	Operational         	10053   	Regain ready                            	2011-02-18 20:42:38 	The regain movement is ready.	{args: "0"}
60100     	I   	Operational         	10151   	Program started                         	2011-02-18 20:42:38 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60101     	I   	Operational         	10151   	Program started                         	2011-02-18 20:42:38 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60102     	I   	Operational         	10151   	Program started                         	2011-02-18 20:42:38 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60103     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 20:43:37 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60104     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:43:37 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60105     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:43:37 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60106     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:43:37 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60107     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 20:47:35 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60108     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 20:47:36 	The system is in the Motors ON state.	{args: }
60109     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 20:47:52 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60112     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:10:14 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60113     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:10:14 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60114     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:10:14 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60115     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:11:27 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60116     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:11:28 	The system is in the Motors ON state.	{args: }
60117     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:11:30 	A regain movement has started.	{args: "0"}
60118     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:11:30 	The regain movement is ready.	{args: "0"}
60119     	I   	Operational         	10151   	Program started                         	2011-02-18 21:11:30 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60120     	I   	Operational         	10151   	Program started                         	2011-02-18 21:11:30 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60121     	I   	Operational         	10151   	Program started                         	2011-02-18 21:11:30 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60122     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:12:11 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60123     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:12:11 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60124     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:12:11 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60125     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:12:11 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60126     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:14:29 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60127     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:14:30 	The system is in the Motors ON state.	{args: }
60128     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:14:36 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60129     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:14:36 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60130     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:14:36 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60131     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:14:42 	A regain movement has started.	{args: "0"}
60132     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:14:42 	The regain movement is ready.	{args: "0"}
60133     	I   	Operational         	10151   	Program started                         	2011-02-18 21:14:42 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60134     	I   	Operational         	10151   	Program started                         	2011-02-18 21:14:42 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60135     	I   	Operational         	10151   	Program started                         	2011-02-18 21:14:42 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60136     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:16:18 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60137     	W   	Program             	41595   	Socket error                            	2011-02-18 21:16:18 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60138     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:16:18 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60139     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:16:18 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60140     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:16:18 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60141     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:17:08 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60142     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:17:08 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60143     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:17:08 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60144     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:17:10 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60145     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:17:11 	The system is in the Motors ON state.	{args: }
60146     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:17:12 	A regain movement has started.	{args: "0"}
60147     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:17:12 	The regain movement is ready.	{args: "0"}
60148     	I   	Operational         	10151   	Program started                         	2011-02-18 21:17:12 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60149     	I   	Operational         	10151   	Program started                         	2011-02-18 21:17:12 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60150     	I   	Operational         	10151   	Program started                         	2011-02-18 21:17:12 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60151     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:17:42 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60152     	W   	Program             	41595   	Socket error                            	2011-02-18 21:17:42 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60153     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:17:42 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60154     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:17:42 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60155     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:17:42 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60156     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:19:49 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60157     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:19:50 	The system is in the Motors ON state.	{args: }
60158     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:19:51 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60159     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:19:51 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60160     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:19:51 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60161     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:19:54 	A regain movement has started.	{args: "0"}
60162     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:19:54 	The regain movement is ready.	{args: "0"}
60163     	I   	Operational         	10151   	Program started                         	2011-02-18 21:19:54 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60164     	I   	Operational         	10151   	Program started                         	2011-02-18 21:19:54 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60165     	I   	Operational         	10151   	Program started                         	2011-02-18 21:19:54 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60166     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:20:28 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60167     	W   	Program             	41595   	Socket error                            	2011-02-18 21:20:28 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60168     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:20:28 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60169     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:20:28 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60170     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:20:29 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60171     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:21:11 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60172     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:21:12 	The system is in the Motors ON state.	{args: }
60173     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:21:13 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60174     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:21:13 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60175     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:21:13 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60176     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:21:14 	A regain movement has started.	{args: "0"}
60177     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:21:14 	The regain movement is ready.	{args: "0"}
60178     	I   	Operational         	10151   	Program started                         	2011-02-18 21:21:14 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60179     	I   	Operational         	10151   	Program started                         	2011-02-18 21:21:14 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60180     	I   	Operational         	10151   	Program started                         	2011-02-18 21:21:14 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60181     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:21:34 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60182     	W   	Program             	41595   	Socket error                            	2011-02-18 21:21:34 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60183     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:21:34 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60184     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:21:34 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60185     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:21:35 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60186     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:22:37 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60187     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:22:37 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60188     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:22:37 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60189     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:22:39 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60190     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:22:40 	The system is in the Motors ON state.	{args: }
60191     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:22:41 	A regain movement has started.	{args: "0"}
60192     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:22:41 	The regain movement is ready.	{args: "0"}
60193     	I   	Operational         	10151   	Program started                         	2011-02-18 21:22:41 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60194     	I   	Operational         	10151   	Program started                         	2011-02-18 21:22:41 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60195     	I   	Operational         	10151   	Program started                         	2011-02-18 21:22:41 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60196     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:23:21 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60197     	W   	Program             	41595   	Socket error                            	2011-02-18 21:23:21 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60198     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:23:21 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60199     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:23:21 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60200     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:23:21 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60201     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:24:36 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60202     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:24:36 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60203     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:24:36 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60204     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:24:39 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60205     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 21:24:40 	The system is in the Motors ON state.	{args: }
60206     	I   	Operational         	10052   	Regain start                            	2011-02-18 21:24:41 	A regain movement has started.	{args: "0"}
60207     	I   	Operational         	10053   	Regain ready                            	2011-02-18 21:24:41 	The regain movement is ready.	{args: "0"}
60208     	I   	Operational         	10151   	Program started                         	2011-02-18 21:24:41 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60209     	I   	Operational         	10151   	Program started                         	2011-02-18 21:24:41 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60210     	I   	Operational         	10151   	Program started                         	2011-02-18 21:24:41 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60211     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:25:45 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60212     	W   	Program             	41595   	Socket error                            	2011-02-18 21:25:45 	Task: T_ROB1The connection has been closed by the remote host.Program Ref. /SERVER1/main/SocketReceive/91	{args: "T_ROB1", "/SERVER1/main/SocketReceive/91", "ERR_SOCK_CLOSED", "-28:10:2::0:8388608.000000"}
60213     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:25:45 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60214     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:25:45 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60215     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:25:46 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60216     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 21:28:17 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60217     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 21:28:17 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60218     	E   	System              	20212   	Two channel fault, RUN CHAIN            	2011-02-18 21:28:17 	Only one of the two RUN chains was closed.	{args: }
60219     	E   	System              	20212   	Two channel fault, RUN CHAIN            	2011-02-18 21:28:17 	Only one of the two RUN chains was closed.	{args: }
60220     	E   	System              	20224   	Enabling Device conflict                	2011-02-18 21:28:17 	Only one of the two Enabling Device chains was opened.	{args: }
60221     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:28:24 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60222     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:28:24 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60223     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:28:24 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60224     	E   	System              	20074   	Not allowed command                     	2011-02-18 21:28:25 	The command is not allowed in Guard Stop state.	{args: "150"}

Operational log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
60200     	I   	Operational         	10125   	Program stopped                         	2011-02-18 21:23:21 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60201     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:24:36 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60202     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 21:24:36 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
