All event log messages.
Date:	2016-10-17 12:18:54
System Name:	MCube6.03
Controller Name:	192.168.1.2
Controller Id	120-502362

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	623-1 Multitasking
	604-1 MultiMove Coordinated
	623-1 Multitasking
	608-1 World Zones
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	689-1 Externally Guided Motion (EGM)
	English
	Auto acknowledge input

Robot1
Key:	
Options:	
	IRB 120T-0.58/3
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600

Robot2
Key:	
Options:	
	IRB 120T-0.58/3
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
2796442   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:54:40 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796443   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:54:40 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796444   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 07:54:40 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796445   	I   	Operational         	10052   	Regain start                            	2016-10-14 07:54:41 	A regain movement has started.	{args: "0"}
2796446   	I   	Operational         	10053   	Regain ready                            	2016-10-14 07:54:41 	The regain movement is ready.	{args: "0"}
2796447   	I   	Operational         	10151   	Program started                         	2016-10-14 07:54:41 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796448   	I   	Operational         	10151   	Program started                         	2016-10-14 07:54:41 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796449   	I   	Operational         	10151   	Program started                         	2016-10-14 07:54:41 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796450   	I   	Operational         	10151   	Program started                         	2016-10-14 07:54:41 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796451   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:54:41 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796452   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:54:41 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796455   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:54:54 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796456   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:54:54 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796457   	E   	Program             	40228   	Execution error                         	2016-10-14 07:54:54 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796458   	I   	Operational         	10020   	Execution error state                   	2016-10-14 07:54:54 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796459   	I   	Operational         	10126   	Program stopped                         	2016-10-14 07:54:54 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796460   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:56:30 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796461   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:56:34 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796462   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:56:34 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796463   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:56:34 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796464   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:56:34 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796465   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 07:56:34 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796466   	I   	Operational         	10052   	Regain start                            	2016-10-14 07:56:35 	A regain movement has started.	{args: "0"}
2796467   	I   	Operational         	10053   	Regain ready                            	2016-10-14 07:56:35 	The regain movement is ready.	{args: "0"}
2796468   	I   	Operational         	10151   	Program started                         	2016-10-14 07:56:35 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796469   	I   	Operational         	10151   	Program started                         	2016-10-14 07:56:35 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796470   	I   	Operational         	10151   	Program started                         	2016-10-14 07:56:35 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796471   	I   	Operational         	10151   	Program started                         	2016-10-14 07:56:35 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796472   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:56:35 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796473   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:56:35 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796474   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:56:39 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796475   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:56:39 	The task T_ROB2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "T_ROB2"}
2796477   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:57:31 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796478   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:57:31 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796479   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:57:31 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796480   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:57:31 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796481   	I   	Operational         	10052   	Regain start                            	2016-10-14 07:57:48 	A regain movement has started.	{args: "0"}
2796482   	I   	Operational         	10053   	Regain ready                            	2016-10-14 07:57:48 	The regain movement is ready.	{args: "0"}
2796483   	I   	Operational         	10151   	Program started                         	2016-10-14 07:57:48 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796484   	I   	Operational         	10151   	Program started                         	2016-10-14 07:57:48 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796485   	I   	Operational         	10151   	Program started                         	2016-10-14 07:57:48 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796486   	I   	Operational         	10151   	Program started                         	2016-10-14 07:57:48 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796487   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:57:48 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796488   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:57:48 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796491   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:58:08 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796492   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:58:08 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796493   	E   	Program             	40228   	Execution error                         	2016-10-14 07:58:08 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796494   	I   	Operational         	10020   	Execution error state                   	2016-10-14 07:58:08 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796495   	I   	Operational         	10126   	Program stopped                         	2016-10-14 07:58:08 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796496   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:31 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796497   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:32 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796498   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:32 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796499   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:32 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796500   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:32 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796501   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 08:04:32 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796502   	I   	Operational         	10052   	Regain start                            	2016-10-14 08:04:34 	A regain movement has started.	{args: "0"}
2796503   	I   	Operational         	10053   	Regain ready                            	2016-10-14 08:04:34 	The regain movement is ready.	{args: "0"}
2796504   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:34 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796505   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:34 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796506   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:34 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796507   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:34 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796508   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:34 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796509   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:34 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796512   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:04:40 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796513   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:04:40 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796514   	E   	Program             	40228   	Execution error                         	2016-10-14 08:04:40 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796515   	I   	Operational         	10020   	Execution error state                   	2016-10-14 08:04:40 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796516   	I   	Operational         	10126   	Program stopped                         	2016-10-14 08:04:40 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796517   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:42 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796518   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:43 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796519   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:44 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796520   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:44 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796521   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:04:44 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796522   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 08:04:44 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796523   	I   	Operational         	10052   	Regain start                            	2016-10-14 08:04:56 	A regain movement has started.	{args: "0"}
2796524   	I   	Operational         	10053   	Regain ready                            	2016-10-14 08:04:56 	The regain movement is ready.	{args: "0"}
2796525   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:56 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796526   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:56 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796527   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:56 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796528   	I   	Operational         	10151   	Program started                         	2016-10-14 08:04:56 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796529   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:56 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796530   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:04:56 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796533   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:05:14 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796534   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:05:14 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796535   	E   	Program             	40228   	Execution error                         	2016-10-14 08:05:14 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796536   	I   	Operational         	10020   	Execution error state                   	2016-10-14 08:05:14 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796537   	I   	Operational         	10126   	Program stopped                         	2016-10-14 08:05:14 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796538   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:05:18 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796539   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:05:20 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796540   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:05:20 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796541   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:05:20 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796542   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:05:20 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796543   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 08:05:20 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796544   	I   	Operational         	10052   	Regain start                            	2016-10-14 08:05:23 	A regain movement has started.	{args: "0"}
2796545   	I   	Operational         	10053   	Regain ready                            	2016-10-14 08:05:23 	The regain movement is ready.	{args: "0"}
2796546   	I   	Operational         	10151   	Program started                         	2016-10-14 08:05:23 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796547   	I   	Operational         	10151   	Program started                         	2016-10-14 08:05:23 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796548   	I   	Operational         	10151   	Program started                         	2016-10-14 08:05:23 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796549   	I   	Operational         	10151   	Program started                         	2016-10-14 08:05:23 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796550   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:05:23 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796551   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:05:23 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796554   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:05:27 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796555   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 08:05:27 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796556   	E   	Program             	40228   	Execution error                         	2016-10-14 08:05:27 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796557   	I   	Operational         	10020   	Execution error state                   	2016-10-14 08:05:27 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796558   	I   	Operational         	10126   	Program stopped                         	2016-10-14 08:05:27 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796559   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:05:31 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796560   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:22:53 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796561   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:22:53 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
2796562   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:22:53 	The program pointer of task LOGGER1 has been reset.	{args: "3", "0", "LOGGER1"}
2796563   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 08:22:53 	The program pointer of task T_ROB2 has been reset.	{args: "4", "0", "T_ROB2"}
2796564   	I   	Operational         	10021   	Execution error reset                   	2016-10-14 08:22:53 	 The program execution in task T_ROB2 has left a spontaneous error state. 	{args: "4", "T_ROB2"}
2796565   	I   	Operational         	10052   	Regain start                            	2016-10-14 08:22:59 	A regain movement has started.	{args: "0"}
2796566   	I   	Operational         	10053   	Regain ready                            	2016-10-14 08:22:59 	The regain movement is ready.	{args: "0"}
2796567   	I   	Operational         	10151   	Program started                         	2016-10-14 08:22:59 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
2796568   	I   	Operational         	10151   	Program started                         	2016-10-14 08:22:59 	Execution of task LOGGER2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER2"}
2796569   	I   	Operational         	10151   	Program started                         	2016-10-14 08:22:59 	Execution of task LOGGER1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "LOGGER1"}
2796570   	I   	Operational         	10151   	Program started                         	2016-10-14 08:22:59 	Execution of task T_ROB2 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "T_ROB2"}
2796571   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:22:59 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796572   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:22:59 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796573   	E   	Motion              	50027   	Joint Out of Range                      	2016-10-14 08:23:14 	Position for ROB_2 joint rob2_6 is out of working range.	{args: "rob2_6", "ROB_2"}
2796574   	I   	Operational         	10020   	Execution error state                   	2016-10-14 08:23:14 	The program execution in task LOGGER1 has been stopped due to a spontaneous error.	{args: "3", "LOGGER1"}
2796575   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:23:14 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796576   	I   	Operational         	10020   	Execution error state                   	2016-10-14 08:23:14 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796577   	I   	Operational         	10012   	Safety guard stop state                 	2016-10-14 08:23:14 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
2796578   	W   	Motion              	50446   	External Motion Interface ramp time increased	2016-10-14 08:23:14 	External Motion Interface ramp time was increased in order to avoid over-speed when ramping down correction 0.New ramp time: 0.08567812 seconds	{args: "0", "0.08567812"}
2796579   	I   	Operational         	10125   	Program stopped                         	2016-10-14 08:23:14 	The task T_ROB2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "T_ROB2"}
2796580   	I   	Operational         	10010   	Motors OFF state                        	2016-10-14 08:23:15 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
2796582   	I   	Operational         	10015   	Manual mode selected                    	2016-10-14 08:24:07 	The system is in the Manual mode.	{args: }
2796583   	I   	Operational         	10012   	Safety guard stop state                 	2016-10-14 08:24:07 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
2796584   	I   	Operational         	10010   	Motors OFF state                        	2016-10-14 08:24:16 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
2796585   	I   	Operational         	10011   	Motors ON state                         	2016-10-14 08:24:16 	The system is in the Motors ON state.	{args: }
